14/10/23 05:15:54 0000 s 01884ver01 44.882510 8.859902 00 00
14/10/23 05:29:13 0000 s 01884ver01 44.882558 8.859838 00 00
14/10/23 05:48:38 0001 1                  44.971282 8.882355 00 00 300ED89F33500086844FC3AB            
14/10/23 07:13:10 0161 1                  44.982048 8.884688 00 00 323030323545303033343234            
14/10/23 07:14:02 0162 1                  44.982203 8.884775 00 00 323030323545303033353830            
14/10/23 07:14:38 0163 1                  44.982332 8.884688 00 00 3232303032334D3030313433            
14/10/23 07:15:06 0164 1                  44.982425 8.884350 00 00 323030323545303033353434            
14/10/23 07:15:46 0165 1                  44.982497 8.884215 00 00 323030323545303033353339            
14/10/23 07:15:59 0166 1                  44.982478 8.884230 00 00 323030323545303033353436            
14/10/23 07:16:00 0167 1                  44.982478 8.884230 00 00 323030323545303037353139            
14/10/23 07:16:14 0168 1                  44.982460 8.884228 00 00 323030323545303033353435            
14/10/23 07:16:25 0169 1                  44.982477 8.884178 00 00 323030323545303033353432            
14/10/23 07:17:50 0170 1                  44.982488 8.883998 00 00 323030323545303033343237            
14/10/23 07:18:52 0171 1                  44.982825 8.883692 00 00 323030323545303036303536            
14/10/23 07:19:19 0172 1                  44.982693 8.883653 00 00 323030323545303033353335            
14/10/23 07:19:53 0173 1                  44.982600 8.883617 00 00 323030323545303033353733            
14/10/23 07:20:43 0174 1                  44.982787 8.882662 00 00 3233303032334D3030333935            
14/10/23 07:21:17 0175 1                  44.982868 8.882272 00 00 323030323545303033353737            
14/10/23 07:23:46 0176 1                  44.982727 8.882825 00 00 323032343055303030323635            
14/10/23 07:24:16 0177 1                  44.982687 8.882853 00 00 300ED89F33500086844FC3AB            
14/10/23 07:25:28 0178 1                  44.983148 8.882960 00 00 323032343055303030323636            
14/10/23 07:26:00 0179 1                  44.983160 8.882933 00 00 323032343055303030323638            
14/10/23 07:28:06 0180 1                  44.982678 8.882807 00 00 323030323545303033353637            
14/10/23 07:28:10 0181 1                  44.982665 8.882808 00 00 323030323545303033353639            
14/10/23 07:28:41 0182 1                  44.982432 8.882792 00 00 323030323545303033323032            
14/10/23 07:28:42 0183 1                  44.982432 8.882792 00 00 323030323545303033323036            
14/10/23 07:28:55 0184 1                  44.982382 8.882783 00 00 323030323545303033303134            
14/10/23 07:29:14 0185 1                  44.982360 8.882783 00 00 323030323545303032383939            
14/10/23 07:29:43 0186 1                  44.982260 8.882767 00 00 323030323545303032393032            
14/10/23 07:29:57 0187 1                  44.982195 8.882663 00 00 323030323545303038333932            
14/10/23 07:30:04 0188 1                  44.982170 8.882572 00 00 323030323545303032393438            
14/10/23 07:30:08 0189 1                  44.982153 8.882535 00 00 323030323545303032343639            
14/10/23 07:30:50 0190 1                  44.981988 8.883350 00 00 323030323545303033353138            
14/10/23 07:30:54 0191 1                  44.982022 8.883677 00 00 323030323545303033303737            
14/10/23 07:31:13 0192 1                  44.982060 8.884445 00 00 323030323545303033353738            
14/10/23 07:31:40 0193 1                  44.982075 8.884890 00 00 323030323545303033323130            
14/10/23 07:32:00 0194 1                  44.982082 8.884918 00 00 323030323545303033343330            
14/10/23 07:32:12 0195 1                  44.982077 8.884915 00 00 323030323545303033353931            
14/10/23 07:33:22 0196 1                  44.981508 8.885270 00 00 000000000000000007338688            
14/10/23 07:33:45 0197 1                  44.981047 8.884743 00 00 323030323545303033353131            
14/10/23 07:34:01 0198 1                  44.980993 8.884658 00 00 C30C30C30C30C30C30C30C30            
14/10/23 07:34:14 0199 1                  44.981033 8.884488 00 00 323030323545303033333135            
14/10/23 07:34:26 0200 1                  44.981022 8.884473 00 00 3231303032334D3030383734            
14/10/23 07:34:59 0201 1                  44.981242 8.884478 00 00 25705569A6866702F2C37CB0            
14/10/23 07:35:14 0202 1                  44.981353 8.884213 00 00 323030323545303033353130            
14/10/23 07:35:19 0203 1                  44.981368 8.884178 00 00 323030323545303033323839            
14/10/23 07:36:15 0204 1                  44.981457 8.883767 00 00 323030323545303033343335            
14/10/23 07:38:06 0205 1                  44.981313 8.882267 00 00 323030323545303032343130            
14/10/23 07:39:08 0206 1                  44.982177 8.880312 00 00 323030323545303036313836            
14/10/23 07:39:49 0207 1                  44.982435 8.880213 00 00 323030323545303030343234            
14/10/23 07:39:53 0208 1                  44.982440 8.880210 00 00 323030323545303030343230            
14/10/23 07:39:57 0209 1                  44.982445 8.880207 00 00 323030323545303030343231            
14/10/23 07:41:10 0210 1                  44.982832 8.880050 00 00 323030323545303032323734            
14/10/23 07:41:10 0211 1                  44.982832 8.880050 00 00 323030323545303032313631            
14/10/23 07:41:32 0212 1                  44.983047 8.880057 00 00 323030323545303030333730            
14/10/23 07:41:55 0213 1                  44.983138 8.880075 00 00 323030323545303033313137            
14/10/23 07:42:28 0214 1                  44.983390 8.880197 00 00 323030323545303037333934            
14/10/23 07:43:18 0215 1                  44.983878 8.880310 00 00 323030323545303033303032            
14/10/23 07:43:24 0216 1                  44.983880 8.880332 00 00 3231303032334D3030383732            
14/10/23 07:44:24 0217 1                  44.984198 8.880293 00 00 323030323545303032333634            
14/10/23 07:44:26 0218 1                  44.984200 8.880292 00 00 3232303032334D3030313239            
14/10/23 07:44:30 0219 1                  44.984203 8.880287 00 00 323030323545303032333635            
14/10/23 07:44:58 0220 1                  44.984318 8.880340 00 00 323030323545303032333332            
14/10/23 07:45:40 0221 1                  44.984580 8.880390 00 00 323030323545303033303238            
14/10/23 07:45:43 0222 1                  44.984582 8.880387 00 00 323030323545303033303138            
14/10/23 07:46:19 0223 1                  44.984758 8.880460 00 00 323030323545303032313638            
14/10/23 07:46:53 0224 1                  44.985163 8.880563 00 00 323030323545303033313632            
14/10/23 07:47:12 0225 1                  44.985248 8.880577 00 00 323030323545303033313630            
