14/10/23 05:32:25 0000 s 01486ver01 44.882552 8.859767 00 00
14/10/23 08:39:39 0314 1                  44.980167 8.876495 00 00 323030323545303032373831            
14/10/23 08:39:44 0315 1                  44.980168 8.876480 00 00 323030323545303032333533            
14/10/23 08:39:51 0316 1                  44.980172 8.876452 00 00 323030323545303032383139            
14/10/23 08:39:55 0317 1                  44.980162 8.876428 00 00 323030323545303032383230            
14/10/23 08:40:51 0318 1                  44.980028 8.876478 00 00 323030323545303036303334            
14/10/23 08:41:00 0319 1                  44.980000 8.876572 00 00 323030323545303032383332            
14/10/23 08:41:04 0320 1                  44.979997 8.876597 00 00 323030323545303032333832            
14/10/23 08:41:09 0321 1                  44.979988 8.876610 00 00 323030323545303032333833            
14/10/23 08:41:45 0322 1                  44.979347 8.876802 00 00 323030323545303036303439            
14/10/23 08:41:59 0323 1                  44.979207 8.876718 00 00 323030323545303036303836            
14/10/23 08:42:16 0324 1                  44.979068 8.876672 00 00 323030323545303036363731            
14/10/23 08:42:20 0325 1                  44.979063 8.876662 00 00 323030323545303036303837            
14/10/23 08:43:27 0326 1                  44.978657 8.875493 00 00 323030323545303039333139            
14/10/23 08:43:41 0327 1                  44.978620 8.875595 00 00 323030323545303036303532            
