22/07/25 08:54:08 0247 1                  44.736040 8.730713 pp 01 31383132304a303233333636            
22/07/25 08:54:32 0248 1                  44.736142 8.730711 pp 01 31383132304a303233333636            
22/07/25 08:55:16 0250 1                  44.735738 8.730010 pp 01 31383132304a303235303035            
22/07/25 08:55:42 0251 1                  44.735761 8.729991 pp 01 31383132304a303235303035            
22/07/25 08:56:18 0253 1                  44.735293 8.729804 pp 01 31383132304a303235333538            
22/07/25 08:56:50 0254 1                  44.735271 8.729817 pp 01 31383132304a303235333538            
22/07/25 08:57:22 0256 1                  44.734959 8.729917 pp 01 31383132304a303235333533            
22/07/25 08:57:53 0257 1                  44.734912 8.729938 pp 01 31383132304a303235333533            
22/07/25 09:19:33 0262 1                  44.734342 8.730144 pp 01 31383132304a303235313032            
22/07/25 09:20:03 0263 1                  44.734388 8.730110 pp 01 31383132304a303235313032            
22/07/25 09:20:38 0266 1                  44.734393 8.730352 pp 01 31383132304a303234393238            
22/07/25 09:20:49 0000 s 00478ver01 44.734402 8.730478 pp 01
22/07/25 09:21:28 0267 1                  44.734404 8.730361 pp 01 31383132304a303235303939            
22/07/25 09:21:29 0268 1                  44.734388 8.730383 pp 01 31383132304a303234393238            
22/07/25 09:22:50 0270 1                  44.734307 8.730812 pp 01 31383132304a303234393932            
22/07/25 09:23:13 0271 1                  44.734400 8.730745 pp 01 31383132304a303234393932            
22/07/25 09:23:43 0273 1                  44.734260 8.731215 pp 01 31383132304a303235343533            
22/07/25 09:23:54 0000 s 00478ver01 44.734367 8.731340 pp 01
22/07/25 09:24:34 0274 1                  44.734288 8.731189 pp 01 31383132304a303235343533            
22/07/25 09:31:08 0276 1                  44.740639 8.734032 pp 01 313831313030533031313135            
22/07/25 09:31:56 0277 1                  44.740614 8.734086 pp 01 31383132304a303235313637            
22/07/25 09:31:59 0278 1                  44.740619 8.734082 pp 01 313831313030533031313135            
22/07/25 10:35:27 0000 s 00478ver01 44.753077 8.811953 pp 01
