30/01/25 04:47:59 0000 s 02535ver01 44.753475 8.812293 pp 01
30/01/25 04:48:04 0001 7                  44.753475 8.812293 pp 01 
30/01/25 11:34:46 0203 1                  44.760518 8.796315 pp 01 313931323050303030303335            
30/01/25 11:36:41 0204 1                  44.760670 8.798677 pp 01 313931323050303036323737            
30/01/25 11:36:41 0205 1                  44.760670 8.798677 pp 01 313931323050303133323430            
30/01/25 11:38:38 0206 1                  44.761450 8.800110 pp 01 313931323050303030383339            
30/01/25 11:38:38 0207 1                  44.761450 8.800110 pp 01 313931323050303030383338            
30/01/25 11:42:11 0208 1                  44.761700 8.801388 pp 01 313931323050303030383336            
30/01/25 11:42:15 0209 1                  44.761702 8.801388 pp 01 313931323050303030383337            
30/01/25 11:43:42 0210 1                  44.761798 8.802268 pp 01 323031313030503030343932            
30/01/25 11:45:15 0211 1                  44.762028 8.802990 pp 01 313931323050303030303530            
30/01/25 11:46:45 0212 1                  44.762095 8.803283 pp 01 313932343050303030343136            
30/01/25 11:46:45 0213 1                  44.762095 8.803283 pp 01 313932343050303030343236            
30/01/25 11:48:44 0214 1                  44.761973 8.804372 pp 01 313931323050303031383335            
30/01/25 11:48:44 0215 1                  44.761973 8.804372 pp 01 313932343050303030353733            
30/01/25 11:50:09 0216 1                  44.761832 8.804023 pp 01 313931323050303031383833            
30/01/25 11:51:42 0217 1                  44.761380 8.803820 pp 01 313931323050303037323239            
30/01/25 11:51:46 0218 1                  44.761378 8.803823 pp 01 313931323050303037323334            
30/01/25 11:53:19 0219 1                  44.761205 8.804088 pp 01 313931323050303036303534            
30/01/25 11:53:25 0220 1                  44.761197 8.804090 pp 01 313931323050303036303534            
30/01/25 11:54:32 0221 1                  44.761218 8.804430 pp 01 313931323050303031393137            
30/01/25 11:54:32 0222 1                  44.761218 8.804430 pp 01 313931323050303030313133            
30/01/25 11:57:26 0223 1                  44.761545 8.805142 pp 01 313931323050303030323138            
30/01/25 11:57:26 0224 1                  44.761545 8.805142 pp 01 313931323050303031323332            
30/01/25 11:58:25 0225 1                  44.761562 8.805163 pp 01 313931323050303032353534            
30/01/25 11:58:25 0226 1                  44.761562 8.805163 pp 01 313931323050303031303236            
30/01/25 12:00:10 0227 1                  44.761698 8.804923 pp 01 313931323050303030313433            
30/01/25 12:00:12 0228 1                  44.761698 8.804923 pp 01 313931323050303132303133            
30/01/25 12:06:51 0229 1                  44.762053 8.805137 pp 01 313932343050303030353736            
30/01/25 12:06:55 0230 1                  44.762052 8.805138 pp 01 313932343050303030353732            
30/01/25 12:08:20 0231 1                  44.761920 8.805405 pp 01 313932343050303030353735            
30/01/25 12:08:20 0232 1                  44.761920 8.805405 pp 01 313932343050303030353731            
30/01/25 12:11:50 0233 1                  44.762223 8.805205 pp 01 323031313030503030353039            
30/01/25 12:13:38 0234 1                  44.762232 8.804930 pp 01 31383132304A303230303535            
30/01/25 12:13:40 0235 1                  44.762230 8.804930 pp 01 313931323050303030323132            
30/01/25 12:14:39 0236 1                  44.762233 8.804930 pp 01 313931323050303030323131            
30/01/25 12:14:41 0237 1                  44.762240 8.804927 pp 01 313931323050303030323130            
30/01/25 12:18:58 0238 1                  44.762352 8.803507 pp 01 313931323050303030303437            
30/01/25 12:18:58 0239 1                  44.762352 8.803507 pp 01 313931323050303030303438            
30/01/25 12:19:08 0240 1                  44.762350 8.803520 pp 01 30361443FC398E5FFA0A24A5            
30/01/25 12:19:10 0241 1                  44.762348 8.803525 pp 01 3036144B4C151E1F3305BCA2            
30/01/25 12:21:17 0242 1                  44.763448 8.801930 pp 01 303ACB034332949AC688EF7A            
30/01/25 12:21:48 0243 1                  44.763458 8.801878 pp 01 313932343050303030323836            
30/01/25 12:21:48 0244 1                  44.763458 8.801878 pp 01 313932343050303030353639            
30/01/25 12:21:52 0245 1                  44.763460 8.801870 pp 01 30340C0F7C4CC81AD0BEE805            
30/01/25 12:22:42 0246 1                  44.763485 8.801847 pp 01 313931323050303033313934            
30/01/25 12:24:24 0247 1                  44.763452 8.801705 pp 01 313931323050303030343037            
30/01/25 12:24:26 0248 1                  44.763452 8.801705 pp 01 313931323050303030343039            
30/01/25 12:25:02 0249 1                  44.763425 8.801690 pp 01 313931323050303030343036            
30/01/25 12:25:08 0250 1                  44.763425 8.801685 pp 01 313931323050303030343034            
30/01/25 12:27:20 0251 1                  44.763547 8.801205 pp 01 313931323050303030303138            
30/01/25 12:29:17 0252 1                  44.763232 8.801313 pp 01 313932343050303030323138            
30/01/25 12:29:21 0253 1                  44.763235 8.801310 pp 01 313932343050303030323139            
30/01/25 12:39:33 0254 1                  44.762043 8.802430 pp 01 313931323050303037363539            
30/01/25 12:39:33 0255 1                  44.762043 8.802430 pp 01 313931323050303030303531            
30/01/25 12:40:32 0256 1                  44.762090 8.802395 pp 01 313931323050303037363538            
30/01/25 12:40:34 0257 1                  44.762092 8.802393 pp 01 313931323050303030303532            
30/01/25 12:43:28 0258 1                  44.761892 8.801222 pp 01 3234303132304A3030393138            
30/01/25 12:43:32 0259 1                  44.761888 8.801220 pp 01 313931323050303032313239            
30/01/25 12:46:16 0260 1                  44.761125 8.799373 pp 01 313931323050303030353133            
30/01/25 12:47:53 0261 1                  44.760800 8.798438 pp 01 313931323050303031363835            
30/01/25 12:53:21 0262 1                  44.760852 8.801103 pp 01 313931323050303033313431            
30/01/25 12:53:23 0263 1                  44.760852 8.801105 pp 01 313931323050303133323339            
