01/03/25 05:39:33 0000 s 01485ver01 44.882273 8.859962 00 00
01/03/25 08:53:09 0268 1                  44.979922 8.877422 00 00 323030323545303036303633            
01/03/25 08:53:13 0269 1                  44.979922 8.877428 00 00 323030323545303036313034            
01/03/25 08:53:35 0270 1                  44.980132 8.877583 00 00 3233303032334D3030303935            
01/03/25 08:53:54 0271 1                  44.980268 8.877683 00 00 323030323545303030363030            
01/03/25 08:53:59 0272 1                  44.980270 8.877698 00 00 323030323545303035393733            
01/03/25 08:54:18 0273 1                  44.980517 8.877853 00 00 323030323545303034323532            
01/03/25 08:54:52 0274 1                  44.980962 8.877147 00 00 323030323545303034313832            
01/03/25 08:55:13 0275 1                  44.980788 8.876915 00 00 323030323545303036343534            
01/03/25 08:55:27 0276 1                  44.980620 8.876792 00 00 323030323545303036303835            
01/03/25 08:55:46 0277 1                  44.980315 8.876592 00 00 323030323545303030343734            
01/03/25 08:55:53 0278 1                  44.980302 8.876562 00 00 323030323545303030353431            
01/03/25 08:55:58 0279 1                  44.980298 8.876547 00 00 323030323545303030343732            
01/03/25 08:56:18 0280 1                  44.980208 8.876432 00 00 323030323545303032333739            
01/03/25 08:56:21 0281 1                  44.980198 8.876428 00 00 323030323545303032373837            
01/03/25 08:56:31 0282 1                  44.980200 8.876412 00 00 323030323545303032383139            
01/03/25 08:56:33 0283 1                  44.980200 8.876408 00 00 323030323545303032383035            
01/03/25 08:56:57 0284 1                  44.980208 8.876375 00 00 323030323545303032383230            
01/03/25 08:57:00 0285 1                  44.980203 8.876378 00 00 323030323545303038303635            
01/03/25 08:57:01 0286 1                  44.980203 8.876378 00 00 323030323545303032373831            
01/03/25 08:57:11 0287 1                  44.980180 8.876392 00 00 323030323545303032333533            
01/03/25 08:58:15 0288 1                  44.979343 8.876792 00 00 323030323545303036303439            
01/03/25 08:58:38 0289 1                  44.979215 8.876650 00 00 323030323545303036303836            
01/03/25 08:58:55 0290 1                  44.979085 8.876603 00 00 323030323545303036303837            
01/03/25 09:00:04 0291 1                  44.978672 8.875512 00 00 3232303032334D3030393136            
01/03/25 09:00:26 0292 1                  44.978615 8.875655 00 00 323030323545303035383836            
01/03/25 09:00:46 0293 1                  44.978580 8.875877 00 00 323030323545303032353433            
01/03/25 09:00:48 0294 1                  44.978578 8.875877 00 00 323030323545303032343431            
01/03/25 09:00:55 0295 1                  44.978563 8.875880 00 00 323030323545303032343136            
01/03/25 09:01:03 0296 1                  44.978557 8.875883 00 00 323030323545303035333933            
01/03/25 09:01:33 0297 1                  44.978317 8.876017 00 00 323030323545303036303131            
01/03/25 09:01:34 0298 1                  44.978317 8.876017 00 00 323030323545303033373435            
01/03/25 09:02:01 0299 1                  44.978268 8.875927 00 00 323030323545303036353530            
01/03/25 09:02:13 0300 1                  44.978240 8.875888 00 00 323030323545303036353532            
01/03/25 09:02:42 0301 1                  44.978038 8.876798 00 00 323030323545303033373731            
01/03/25 09:02:58 0302 1                  44.978030 8.876935 00 00 323032343055303030343035            
01/03/25 09:03:58 0303 1                  44.978345 8.877178 00 00 323030323545303032333536            
01/03/25 09:04:23 0304 1                  44.978400 8.877087 00 00 3231303032334D3030353036            
01/03/25 09:05:14 0305 1                  44.978472 8.876770 00 00 323030323545303030363230            
01/03/25 09:05:18 0306 1                  44.978473 8.876768 00 00 323030323545303032333535            
01/03/25 09:05:22 0307 1                  44.978478 8.876767 00 00 3234303032334D3030363433            
01/03/25 09:06:29 0308 1                  44.979167 8.877445 00 00 323030323545303036313538            
01/03/25 09:06:44 0309 1                  44.979107 8.877640 00 00 323030323545303035393836            
01/03/25 09:07:00 0310 1                  44.979027 8.877903 00 00 323030323545303036303530            
01/03/25 09:07:46 0311 1                  44.979628 8.878508 00 00 323030323545303032383430            
01/03/25 09:08:05 0312 1                  44.979895 8.878637 00 00 323030323545303036353637            
01/03/25 09:08:08 0313 1                  44.979915 8.878655 00 00 323030323545303036303032            
01/03/25 09:08:31 0314 1                  44.979787 8.878567 00 00 323030323545303032383432            
01/03/25 09:09:04 0315 1                  44.979465 8.878313 00 00 323030323545303035393838            
01/03/25 09:09:34 0316 1                  44.978822 8.877805 00 00 323030323545303035393734            
01/03/25 09:10:11 0317 1                  44.977848 8.877502 00 00 323030323545303036303034            
01/03/25 09:10:22 0318 1                  44.977852 8.877630 00 00 323030323545303036303033            
01/03/25 09:10:41 0319 1                  44.977870 8.877962 00 00 323030323545303036303833            
01/03/25 09:11:19 0320 1                  44.977960 8.878503 00 00 323030323545303036303337            
01/03/25 09:11:34 0321 1                  44.977985 8.878598 00 00 323030323545303036353738            
01/03/25 09:11:40 0322 1                  44.977990 8.878598 00 00 3234303032334D3030323738            
01/03/25 09:12:06 0323 1                  44.978057 8.878857 00 00 323030323545303032393936            
01/03/25 09:12:21 0324 1                  44.978122 8.879010 00 00 323030323545303030343435            
01/03/25 09:12:28 0325 1                  44.978122 8.879017 00 00 3231303032334D3035323031            
01/03/25 09:12:54 0326 1                  44.978162 8.879310 00 00 323030323545303036343231            
