08/08/25 04:59:38 0000 s 02027ver01 44.752995 8.812312 xx 01
08/08/25 14:15:06 0181 1                  44.765816 8.803175 uu 01 3234303032334d3032323134            
08/08/25 14:15:59 0182 1                  44.765643 8.803223 uu 01 31383032334d303035313532            
08/08/25 14:15:59 0183 1                  44.765643 8.803223 uu 01 31383032334d303139303130            
08/08/25 14:16:15 0184 1                  44.765643 8.803223 uu 01 3235303032334d3030393035            
08/08/25 14:16:19 0185 1                  44.765643 8.803223 uu 01 323030323545303035303637            
08/08/25 14:16:40 0186 1                  44.765643 8.803223 uu 01 323030323545303036313337            
08/08/25 14:16:46 0187 1                  44.765643 8.803223 uu 01 323030323545303035393736            
08/08/25 14:17:31 0188 1                  44.765380 8.803053 uu 01 31383032334d303035303239            
08/08/25 14:18:01 0189 1                  44.765380 8.803053 uu 01 31383032334d303135373134            
08/08/25 14:18:10 0190 1                  44.765380 8.803053 uu 01 31383032334d303135373135            
08/08/25 14:18:22 0191 1                  44.765380 8.803053 uu 01 323030323545303035303535            
08/08/25 14:18:24 0192 1                  44.765380 8.803053 uu 01 31383032334d303034383437            
08/08/25 14:18:56 0193 1                  44.765290 8.802903 uu 01 323030323545303035303531            
08/08/25 14:19:00 0194 1                  44.765290 8.802903 uu 01 323030323545303035303530            
08/08/25 14:19:39 0195 1                  44.764983 8.802533 uu 01 31383032334d303131393931            
08/08/25 14:19:46 0196 1                  44.764983 8.802533 uu 01 323030323545303031333036            
08/08/25 14:19:53 0197 1                  44.764983 8.802533 uu 01 31383032334d303135393536            
08/08/25 14:21:09 0198 1                  44.764511 8.802818 uu 01 31383032334d303135373533            
08/08/25 14:37:00 0199 1                  44.763685 8.802906 uu 01 31383032334d303135383233            
08/08/25 14:37:26 0200 1                  44.763685 8.802906 uu 01 31383032334d303135383234            
08/08/25 14:38:32 0201 1                  44.762930 8.804305 uu 01 31383032334d303135383438            
08/08/25 14:38:43 0202 1                  44.762958 8.804070 uu 01 3234303032334d3030323533            
08/08/25 14:38:53 0203 1                  44.762958 8.804070 uu 01 31383032334d303135383530            
08/08/25 14:39:32 0204 1                  44.762958 8.804070 uu 01 31383032334d303135383138            
08/08/25 14:40:00 0205 1                  44.762988 8.804185 uu 01 323030323545303036333735            
